+-----+------------+-----------+------+--------+--------+--------+------------+------------+------------+-------------+-----------+---------------+-------------+---------------+-------+-----------+---------+------+---------+-------+-----------+---------+------+-----+-----+-----+----+----+----+-----+----+-----+------+-----------------------+-----------------------------+
| id  | first_name | last_name | bats | throws | weight | height |   debut    | final_game | birth_year | birth_month | birth_day |  birth_city   | birth_state | birth_country |  id   | player_id | team_id | year | salary  |  id   | player_id | team_id | year |  G  | AB  |  H  | 2B | 3B | HR | RBI | SB | id  | year |         name          |            park             |
+-----+------------+-----------+------+--------+--------+--------+------------+------------+------------+-------------+-----------+---------------+-------------+---------------+-------+-----------+---------+------+---------+-------+-----------+---------+------+-----+-----+-----+----+----+----+-----+----+-----+------+-----------------------+-----------------------------+
| 4   | Don        | Aase      | R    | R      | 190    | 75     | 1977-07-26 | 1990-10-03 | 1954       | 9           | 8         | Orange        | CA          | USA           | 580   | 4         | 12      | 1986 | 600000  | 63254 | 4         | 12      | 1986 | 66  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 12  | 2001 | Baltimore Orioles     | Oriole Park at Camden Yards |
| 4   | Don        | Aase      | R    | R      | 190    | 75     | 1977-07-26 | 1990-10-03 | 1954       | 9           | 8         | Orange        | CA          | USA           | 1321  | 4         | 12      | 1987 | 625000  | 64271 | 4         | 12      | 1987 | 7   | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 12  | 2001 | Baltimore Orioles     | Oriole Park at Camden Yards |
| 4   | Don        | Aase      | R    | R      | 190    | 75     | 1977-07-26 | 1990-10-03 | 1954       | 9           | 8         | Orange        | CA          | USA           | 1945  | 4         | 12      | 1988 | 675000  | 65319 | 4         | 12      | 1988 | 35  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 12  | 2001 | Baltimore Orioles     | Oriole Park at Camden Yards |
| 4   | Don        | Aase      | R    | R      | 190    | 75     | 1977-07-26 | 1990-10-03 | 1954       | 9           | 8         | Orange        | CA          | USA           | 3017  | 4         | 90      | 1989 | 400000  | 66354 | 4         | 90      | 1989 | 49  | 5   | 0   | 0  | 0  | 0  | 0   | 0  | 90  | 2001 | New York Mets         | Shea Stadium                |
| 16  | Jeff       | Abbott    | R    | L      | 190    | 74     | 1997-06-10 | 2001-09-29 | 1972       | 8           | 17        | Atlanta       | GA          | USA           | 10425 | 16        | 34      | 1998 | 175000  | 76646 | 16        | 34      | 1998 | 89  | 244 | 68  | 14 | 1  | 12 | 41  | 3  | 34  | 2001 | Chicago White Sox     | Comiskey Park II            |
| 16  | Jeff       | Abbott    | R    | L      | 190    | 74     | 1997-06-10 | 2001-09-29 | 1972       | 8           | 17        | Atlanta       | GA          | USA           | 11427 | 16        | 34      | 1999 | 255000  | 77968 | 16        | 34      | 1999 | 17  | 57  | 9   | 0  | 0  | 2  | 6   | 1  | 34  | 2001 | Chicago White Sox     | Comiskey Park II            |
| 16  | Jeff       | Abbott    | R    | L      | 190    | 74     | 1997-06-10 | 2001-09-29 | 1972       | 8           | 17        | Atlanta       | GA          | USA           | 12411 | 16        | 34      | 2000 | 255000  | 79267 | 16        | 34      | 2000 | 80  | 215 | 59  | 15 | 1  | 3  | 29  | 2  | 34  | 2001 | Chicago White Sox     | Comiskey Park II            |
| 16  | Jeff       | Abbott    | R    | L      | 190    | 74     | 1997-06-10 | 2001-09-29 | 1972       | 8           | 17        | Atlanta       | GA          | USA           | 13415 | 16        | 55      | 2001 | 300000  | 80652 | 16        | 55      | 2001 | 28  | 42  | 11  | 3  | 0  | 0  | 5   | 0  | 55  | 2001 | Florida Marlins       | Pro Player Stadium          |
| 17  | Jim        | Abbott    | L    | L      | 200    | 75     | 1989-04-08 | 1999-07-21 | 1967       | 9           | 19        | Flint         | MI          | USA           | 2661  | 17        | 30      | 1989 | 68000   | 66355 | 17        | 30      | 1989 | 29  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 30  | 1996 | California Angels     | Anaheim Stadium             |
